ID,Country,Description
67828901780,Poland,"Poland, Business Surveys, Construction Sector, Business climate index, SA"
67843023963,Poland,"Poland, Business Surveys, Manufacturing Sector, Forecast, Domestic & foreign orders, SA"
66306916402,Poland,"Poland, Business Surveys, Manufacturing Sector, Forecast, Sold production, SA"
65065770758,Poland,"Poland, Business Surveys, Manufacturing Sector, Forecast, Financial obligations, SA"
65058073814,Poland,"Poland, Business Surveys, Manufacturing Sector, Forecast, Employment, SA"
65404568546,Poland,"Poland, Business Surveys, Manufacturing Sector, Business climate index"
67551990670,Poland,"Poland, Business Surveys, Retail Sector, Business climate index, SA"
65444551086,Poland,"Poland, Business Surveys, Financial Sector, Business climate index"
64424510366,Poland,"Poland, Business Surveys, OeKB, Business Climate, Balance"
68584014459,Poland,"Poland, Business Surveys, Capacity Utilization, Industry, Total"
67304984236,Poland,"Poland, Consumer Surveys, Current consumer confidence indicator (BWUK)"
65644883530,Poland,"Poland, Consumer Surveys, Leading consumer confidence indicator (WWUK)"
66276048546,Poland,"Poland, New Orders, Total, Current Prices, Index, CPPY=100"
64425730197,Poland,"Poland, Retail Sales, Total, Constant Prices, Index, PP=100"
67786801163,Poland,"Poland, New Passenger Car Registration, Total, Not SA"
67353754871,Poland,"Poland, New Heavy Trucks Registration, Poland, New Heavy Trucks Registration, Total (SUSP)"
64424510368,Poland,"Poland, Retail Sales, Total, Current Prices, Index, CPPY=100"
64424542794,Poland,"Poland, Retail Sales, Total, Current Prices, Index, PP=100"
64704562772,Poland,"Poland, Retail Sales, Motor vehicles, motorcycles & parts, Current Prices, Index, CPPY=100"
67085541987,Poland,"Poland, Retail Sales, Solid, liquid & gaseous fuels, Current Prices, Index, CPPY=100"
66013035565,Poland,"Poland, Retail Sales, Foodstuffs, beverages & tobacco, Current Prices, Index, CPPY=100"
66696832098,Poland,"Poland, Retail Sales, Pharmaceuticals, cosmetic, orthopedic equimpent, Current Prices, Index, CPPY=100"
67621665698,Poland,"Poland, Retail Sales, Furniture, housing electronics & equipment, Current Prices, Index, CPPY=100"
65120956399,Poland,"Poland, Retail Sales, Total, Constant Prices, Index, CPPY=100"
67669931832,Poland,"Poland, Composite leading indicators, Trend restored, SA"
64453393897,Poland,"Poland, Wholesale Trade, Wholesale enterprises, Index, CPPY=100"
64424510370,Poland,"Poland, Unemployment, Rate, Total"
65903906100,Poland,"Poland, Unemployment, Rate, Total"
66925290515,Poland,"Poland, Employment, By Industry, Industry"
67777845147,Poland,"Poland, Unemployment, Total"
65924303658,Poland,"Poland, Vacancies, Unfilled, Total"
64851860675,Poland,"Poland, Employment, By Industry, Enterprise sector"
66891277279,Poland,"Poland, Employment, By Industry, Average paid in enterprise sector"
67199742526,Poland,"Poland, Activity, Economically active population"
64584171035,Poland,"Poland, Economically active population, employed"
68341328380,Poland,"Poland, Economically active population, unemployed"
67033568573,Poland,"Poland, Economically inactive population"
68373361041,Poland,"Poland, Employment, By Industry, Average paid in enterprise sector, Chg Y/Y"
66189160193,Poland,"Poland, Employment, By Industry, Construction, Total"
67784036552,Poland,"Poland, Employment, By Industry, Manufacturing, Total"
65372534383,Poland,"Poland, Employment, By Industry, Industry, mining, quarrying"
68628259900,Poland,"Poland, Employment, By Industry, Electricity, gas, steam, hot water"
65015449052,Poland,"Poland, Employment, By Industry, Real estate activities"
68588318346,Poland,"Poland, Hours Worked, Average Per Week, Total"
68098689707,Poland,"Poland, Hours Worked, Average Per Week, Males"
66864822340,Poland,"Poland, Hours Worked, Average Per Week, Females"
68591354785,Poland,"Poland, Employment, By Industry, Trade, repair of motor vehicles"
68467778462,Poland,"Poland, Employment, By Industry, Trade, repair of vehicles & motorcycles"
