EconomicIndicatorId,ObsDate,Value
64424510369,5/1/2012,5.2
64424510369,6/1/2012,4.4
64424510369,7/1/2012,3.6
64424510369,8/1/2012,3
64424510369,9/1/2012,1.8
64424510369,10/1/2012,1
64424510369,11/1/2012,-0.1
64424510369,12/1/2012,-1.1
64424510369,1/1/2013,-1.2
64424510369,2/1/2013,-0.3
64424510369,3/1/2013,-0.7
64424510369,4/1/2013,-2.1
64424510369,5/1/2013,-2.5
64424510369,6/1/2013,-1.3
64424510369,7/1/2013,-0.8
64424510369,8/1/2013,-1.1
64424510369,9/1/2013,-1.4
64424510369,10/1/2013,-1.4
64424510369,11/1/2013,-1.5
64424510369,12/1/2013,-1
64424510369,1/1/2014,-1
64424510369,2/1/2014,-1.4
64424510369,3/1/2014,-1.3
64424510369,4/1/2014,-0.7
64424510369,5/1/2014,-1
64424510369,6/1/2014,-1.8
64424510369,7/1/2014,-2.1
64424510369,8/1/2014,-1.5
64424510369,9/1/2014,-1.6
64424510369,10/1/2014,-1.3
64424510369,11/1/2014,-1.6
64424510369,12/1/2014,-2.7
64424510369,1/1/2015,-2.8
64424510369,2/1/2015,-2.8
64424510369,3/1/2015,-2.5
64424510369,4/1/2015,-2.7
64424510369,5/1/2015,-2.1
64424510369,6/1/2015,-1.4
64424510369,7/1/2015,-1.8
64424510369,8/1/2015,-2.7
64424510369,9/1/2015,-2.8
64424510369,10/1/2015,-2.3
64424510369,11/1/2015,-1.8
64424510369,12/1/2015,-0.8
64424510369,1/1/2016,-1.2
64424510369,2/1/2016,-1.5
64424510369,3/1/2016,-1.9
64424510369,4/1/2016,-1.2
64424510369,5/1/2016,-0.4
64424510369,6/1/2016,-0.8
64424510369,7/1/2016,-0.5
64424510369,8/1/2016,-0.1
64424510369,9/1/2016,0.2
64424510369,10/1/2016,0.6
64424510369,11/1/2016,1.8
64424510369,12/1/2016,3.2
64424510369,1/1/2017,4
64424510369,2/1/2017,4.5
64424510369,3/1/2017,4.8
64424510369,4/1/2017,4.2
64424510369,5/1/2017,2.4
64424510369,6/1/2017,1.8
64424510369,7/1/2017,2.2
64424510369,8/1/2017,3
64424510369,9/1/2017,3.2
64424510369,10/1/2017,3
64424510369,11/1/2017,1.8
64424510369,12/1/2017,0.3
64424510369,1/1/2018,0.2
64424510369,2/1/2018,-0.1
64424510369,3/1/2018,0.5
64424510369,4/1/2018,1
64424510369,5/1/2018,3
64424510369,6/1/2018,3.7
64424510369,7/1/2018,3.4
64425673598,2/1/2016,0
64424953940,1/1/1995,9005
64424953940,1/1/1996,11262
64424953940,1/1/1997,13627
64424953940,1/1/1998,15831
64424953940,1/1/1999,17593
64424953940,1/1/2000,19527
64424953940,1/1/2001,20391
64424953940,1/1/2002,21203
64424953940,1/1/2003,22148
64424953940,1/1/2004,24438
64424953940,1/1/2005,25955
64424953940,1/1/2006,28056
64424953940,1/1/2007,31158
64424953940,1/1/2008,33741
64424953940,1/1/2009,35658
64424953940,1/1/2010,37524
64424953940,1/1/2011,40669
64424953940,1/1/2012,42285
64424953940,1/1/2013,43034
64424953940,1/1/2014,44688
64424953940,1/1/2015,46792
64424953940,1/1/2016,48364
64740222156,1/1/2003,100.3
64740222156,4/1/2003,101.2
64740222156,7/1/2003,102.3
64740222156,10/1/2003,103.2
64740222156,1/1/2004,104.1
64740222156,4/1/2004,104.7
64740222156,7/1/2004,104
64740222156,10/1/2004,103.5
64740222156,1/1/2005,102.8
64740222156,4/1/2005,101.9
64740222156,7/1/2005,102.4
64740222156,10/1/2005,102.7
64740222156,1/1/2006,103.4
64740222156,4/1/2006,104.5
64740222156,7/1/2006,105.1
64740222156,10/1/2006,105.8
64740222156,1/1/2007,106.3
64740222156,4/1/2007,106.3
64740222156,7/1/2007,106.2
64740222156,10/1/2007,106
64740222156,1/1/2008,106
64740222156,4/1/2008,106
64740222156,7/1/2008,105.5
64740222156,10/1/2008,105.5
64740222156,1/1/2009,104.6
64740222156,4/1/2009,103.5
64740222156,7/1/2009,103.2
64740222156,10/1/2009,102.5
64740222156,1/1/2010,102.3
64740222156,4/1/2010,102.4
64740222156,7/1/2010,102.7
64740222156,10/1/2010,103
64740222156,1/1/2011,103.4
64740222156,4/1/2011,103.5
64740222156,7/1/2011,103.2
64740222156,10/1/2011,102.8
64740222156,1/1/2012,101.9
64740222156,4/1/2012,101.2
64740222156,7/1/2012,100.4
64740222156,10/1/2012,99.9
64740222156,1/1/2013,99.9
64740222156,4/1/2013,99.8
64740222156,7/1/2013,100.9
64740222156,10/1/2013,100.9
64740222156,1/1/2014,101.7
64740222156,4/1/2014,102.6
64740222156,7/1/2014,102.6
64740222156,10/1/2014,103.4
64740222156,1/1/2015,103.3
64740222156,4/1/2015,103.2
64740222156,7/1/2015,102.8
64740222156,10/1/2015,102.5
64740222156,1/1/2016,103
64740222156,4/1/2016,103.1
64740222156,7/1/2016,104.3
64740222156,10/1/2016,104.7
64740222156,1/1/2017,104.8
64740222156,4/1/2017,105
64740222156,7/1/2017,104.6
64740222156,10/1/2017,104.6
64740222156,1/1/2018,104.4
64970954146,1/1/2003,102.4
64970954146,4/1/2003,102.1
64970954146,7/1/2003,104.4
64970954146,10/1/2003,104.3
64970954146,1/1/2004,104.6
64970954146,4/1/2004,103.9
64970954146,7/1/2004,102.4
64970954146,10/1/2004,105.2
64970954146,1/1/2005,102
64970954146,4/1/2005,105.2
64970954146,7/1/2005,105.7
64970954146,10/1/2005,103.8
64970954146,1/1/2006,108
64970954146,4/1/2006,104.9
64970954146,7/1/2006,104.9
64970954146,10/1/2006,102.9
64970954146,1/1/2007,101.8
64970954146,4/1/2007,103
64970954146,7/1/2007,101.6
64970954146,10/1/2007,104.3
64970954146,1/1/2008,103.5
64970954146,4/1/2008,104.7
64970954146,7/1/2008,107.1
64970954146,10/1/2008,104.9
64970954146,1/1/2009,106.9
64970954146,4/1/2009,102.8
64970954146,7/1/2009,100.5
64970954146,10/1/2009,103.7
64970954146,1/1/2010,101
64970954146,4/1/2010,103.7
64970954146,7/1/2010,106.2
64970954146,10/1/2010,101.6
64970954146,1/1/2011,101.2
64970954146,4/1/2011,99.6
64970954146,7/1/2011,95.8
64970954146,10/1/2011,98.3
64970954146,1/1/2012,98.4
64970954146,4/1/2012,98.6
64970954146,7/1/2012,100.9
64970954146,10/1/2012,100.1
64970954146,1/1/2013,102.7
64970954146,4/1/2013,101.7
64970954146,7/1/2013,101.9
64970954146,10/1/2013,102.1
64970954146,1/1/2014,101.2
64970954146,4/1/2014,104.2
64970954146,7/1/2014,104.6
64970954146,10/1/2014,103.4
64970954146,1/1/2015,102.9
64970954146,4/1/2015,101.8
64970954146,7/1/2015,100.7
64970954146,10/1/2015,103.4
64970954146,1/1/2016,103.7
64970954146,4/1/2016,102.1
64970954146,7/1/2016,103.3
64970954146,10/1/2016,101.3
64970954146,1/1/2017,101.6
64970954146,4/1/2017,103.9
64970954146,7/1/2017,103.5
64970954146,10/1/2017,104.2
64970954146,1/1/2018,104
64888099570,1/1/2002,168017.9
64888099570,4/1/2002,172539.9
64888099570,7/1/2002,176863.5
64888099570,10/1/2002,197547.7
64888099570,1/1/2003,171727.6
64888099570,4/1/2003,182578.6
64888099570,7/1/2003,182910.2
64888099570,10/1/2003,207998.4
64888099570,1/1/2004,186832
64888099570,4/1/2004,203567
64888099570,7/1/2004,200990.7
64888099570,10/1/2004,228199.9
64888099570,1/1/2005,204683.7
64888099570,4/1/2005,207981.5
64888099570,7/1/2005,210684.8
64888099570,10/1/2005,241449.7
64888099570,1/1/2006,218589.7
64888099570,4/1/2006,223416.9
64888099570,7/1/2006,227158.3
64888099570,10/1/2006,263847.7
64888099570,1/1/2007,242000.2
64888099570,4/1/2007,247741.3
64888099570,7/1/2007,253365.7
64888099570,10/1/2007,292546.8
64888099570,1/1/2008,263999.9
64888099570,4/1/2008,271932.3
64888099570,7/1/2008,273201.6
64888099570,10/1/2008,305938.1
64888099570,1/1/2009,289141.3
64888099570,4/1/2009,289887.2
64888099570,7/1/2009,293077.6
64888099570,10/1/2009,337634.1
64888099570,1/1/2010,295146.4
64888099570,4/1/2010,306418.2
64888099570,7/1/2010,311278.3
64888099570,10/1/2010,358632.3
64888099570,1/1/2011,319121.1
64888099570,4/1/2011,330383.4
64888099570,7/1/2011,337217
64888099570,10/1/2011,390234.1
64888099570,1/1/2012,338852.3587
64888099570,4/1/2012,352446.316
64888099570,7/1/2012,353686.4136
64888099570,10/1/2012,398638.1822
64888099570,1/1/2013,344224.6
64888099570,4/1/2013,355353.1
64888099570,7/1/2013,358598.2
64888099570,10/1/2013,412688.1
64888099570,1/1/2014,355650.6
64888099570,4/1/2014,368986.7
64888099570,7/1/2014,374890
64888099570,10/1/2014,425412.7
64888099570,1/1/2015,372145.9
64888099570,4/1/2015,384207.1
